0,1,2,3,4,5,6,7,8
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.004901951702079099,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.004901951702079099,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.004901951702079099,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.004901951702079099,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.004901951702079099,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009803903404158197,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.009803903404158197,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.009803903404158197,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009803903404158197,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009803903404158197,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004901951702079099,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004901951702079099,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004901951702079099,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.014705897345628102,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.024509800749786297,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03921561361663279,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03921561361663279,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.044117605901656,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.044117605901656,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.044117605901656,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.044117605901656,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.049019515364344284,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049019515364344284,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05392151096226089,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05392151096226089,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05392151096226089,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.058823417112055784,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.058823417112055784,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.058823417112055784,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.058823417112055784,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06862732217266068,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07352931777057728,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07843122723326558,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07843122723326558,0.0
